t,date,qua
香港,2019-06-05,10
香港,2019-06-06,6
香港,2019-06-07,6
香港,2019-06-08,2
香港,2019-06-09,242
香港,2019-06-10,333
香港,2019-06-11,164
香港,2019-06-12,612
香港,2019-06-13,330
香港,2019-06-14,150
香港,2019-06-15,139
香港,2019-06-16,170
香港,2019-06-17,105
香港,2019-06-18,50
香港,2019-06-19,26
香港,2019-06-20,22
香港,2019-06-21,33
香港,2019-06-22,17
香港,2019-06-23,11
香港,2019-06-24,14
香港,2019-06-25,23
香港,2019-06-26,23
香港,2019-06-27,12
香港,2019-06-28,7
香港,2019-06-29,10
香港,2019-06-30,9
香港,2019-07-01,145
香港,2019-07-02,89
香港,2019-07-03,33
香港,2019-07-04,6
香港,2019-07-05,6
香港,2019-07-06,4
香港,2019-07-07,17
香港,2019-07-08,5
香港,2019-07-09,15
香港,2019-07-10,8
香港,2019-07-11,8
香港,2019-07-12,6
香港,2019-07-13,7
香港,2019-07-14,16
香港,2019-07-15,14
香港,2019-07-16,15
香港,2019-07-17,17
香港,2019-07-18,16
香港,2019-07-19,9
香港,2019-07-20,3
香港,2019-07-21,37
香港,2019-07-22,225
反送中,2019-06-05,0
反送中,2019-06-06,0
反送中,2019-06-07,0
反送中,2019-06-08,0
反送中,2019-06-09,65
反送中,2019-06-10,103
反送中,2019-06-11,30
反送中,2019-06-12,141
反送中,2019-06-13,103
反送中,2019-06-14,47
反送中,2019-06-15,57
反送中,2019-06-16,70
反送中,2019-06-17,52
反送中,2019-06-18,16
反送中,2019-06-19,10
反送中,2019-06-20,6
反送中,2019-06-21,5
反送中,2019-06-22,6
反送中,2019-06-23,6
反送中,2019-06-24,11
反送中,2019-06-25,3
反送中,2019-06-26,5
反送中,2019-06-27,29
反送中,2019-06-28,9
反送中,2019-06-29,9
反送中,2019-06-30,9
反送中,2019-07-01,28
反送中,2019-07-02,18
反送中,2019-07-03,8
反送中,2019-07-04,2
反送中,2019-07-05,5
反送中,2019-07-06,1
反送中,2019-07-07,10
反送中,2019-07-08,6
反送中,2019-07-09,8
反送中,2019-07-10,1
反送中,2019-07-11,4
反送中,2019-07-12,4
反送中,2019-07-13,1
反送中,2019-07-14,5
反送中,2019-07-15,2
反送中,2019-07-16,2
反送中,2019-07-17,4
反送中,2019-07-18,5
反送中,2019-07-19,5
反送中,2019-07-20,1
反送中,2019-07-21,7
反送中,2019-07-22,30
逃犯條例,2019-06-05,0
逃犯條例,2019-06-06,3
逃犯條例,2019-06-07,2
逃犯條例,2019-06-08,0
逃犯條例,2019-06-09,14
逃犯條例,2019-06-10,18
逃犯條例,2019-06-11,8
逃犯條例,2019-06-12,8
逃犯條例,2019-06-13,15
逃犯條例,2019-06-14,5
逃犯條例,2019-06-15,16
逃犯條例,2019-06-16,26
逃犯條例,2019-06-17,3
逃犯條例,2019-06-18,2
逃犯條例,2019-06-19,4
逃犯條例,2019-06-20,0
逃犯條例,2019-06-21,2
逃犯條例,2019-06-22,0
逃犯條例,2019-06-23,1
逃犯條例,2019-06-24,0
逃犯條例,2019-06-25,0
逃犯條例,2019-06-26,0
逃犯條例,2019-06-27,0
逃犯條例,2019-06-28,0
逃犯條例,2019-06-29,0
逃犯條例,2019-06-30,0
逃犯條例,2019-07-01,0
逃犯條例,2019-07-02,0
逃犯條例,2019-07-03,0
逃犯條例,2019-07-04,0
逃犯條例,2019-07-05,0
逃犯條例,2019-07-06,0
逃犯條例,2019-07-07,0
逃犯條例,2019-07-08,0
逃犯條例,2019-07-09,4
逃犯條例,2019-07-10,0
逃犯條例,2019-07-11,0
逃犯條例,2019-07-12,0
逃犯條例,2019-07-13,0
逃犯條例,2019-07-14,0
逃犯條例,2019-07-15,0
逃犯條例,2019-07-16,1
逃犯條例,2019-07-17,0
逃犯條例,2019-07-18,0
逃犯條例,2019-07-19,0
逃犯條例,2019-07-20,0
逃犯條例,2019-07-21,0
逃犯條例,2019-07-22,0
共產黨,2019-06-05,3
共產黨,2019-06-06,3
共產黨,2019-06-07,0
共產黨,2019-06-08,0
共產黨,2019-06-09,1
共產黨,2019-06-10,2
共產黨,2019-06-11,1
共產黨,2019-06-12,2
共產黨,2019-06-13,0
共產黨,2019-06-14,1
共產黨,2019-06-15,1
共產黨,2019-06-16,2
共產黨,2019-06-17,0
共產黨,2019-06-18,0
共產黨,2019-06-19,0
共產黨,2019-06-20,2
共產黨,2019-06-21,0
共產黨,2019-06-22,0
共產黨,2019-06-23,18
共產黨,2019-06-24,5
共產黨,2019-06-25,3
共產黨,2019-06-26,0
共產黨,2019-06-27,1
共產黨,2019-06-28,3
共產黨,2019-06-29,0
共產黨,2019-06-30,0
共產黨,2019-07-01,1
共產黨,2019-07-02,0
共產黨,2019-07-03,0
共產黨,2019-07-04,0
共產黨,2019-07-05,0
共產黨,2019-07-06,0
共產黨,2019-07-07,0
共產黨,2019-07-08,0
共產黨,2019-07-09,0
共產黨,2019-07-10,0
共產黨,2019-07-11,0
共產黨,2019-07-12,0
共產黨,2019-07-13,0
共產黨,2019-07-14,0
共產黨,2019-07-15,0
共產黨,2019-07-16,1
共產黨,2019-07-17,0
共產黨,2019-07-18,0
共產黨,2019-07-19,0
共產黨,2019-07-20,0
共產黨,2019-07-21,0
共產黨,2019-07-22,3
元朗,2019-06-05,0
元朗,2019-06-06,0
元朗,2019-06-07,0
元朗,2019-06-08,0
元朗,2019-06-09,0
元朗,2019-06-10,0
元朗,2019-06-11,0
元朗,2019-06-12,0
元朗,2019-06-13,0
元朗,2019-06-14,0
元朗,2019-06-15,0
元朗,2019-06-16,0
元朗,2019-06-17,0
元朗,2019-06-18,0
元朗,2019-06-19,0
元朗,2019-06-20,0
元朗,2019-06-21,0
元朗,2019-06-22,0
元朗,2019-06-23,0
元朗,2019-06-24,0
元朗,2019-06-25,0
元朗,2019-06-26,0
元朗,2019-06-27,0
元朗,2019-06-28,0
元朗,2019-06-29,0
元朗,2019-06-30,0
元朗,2019-07-01,0
元朗,2019-07-02,0
元朗,2019-07-03,0
元朗,2019-07-04,0
元朗,2019-07-05,0
元朗,2019-07-06,0
元朗,2019-07-07,0
元朗,2019-07-08,0
元朗,2019-07-09,0
元朗,2019-07-10,0
元朗,2019-07-11,0
元朗,2019-07-12,0
元朗,2019-07-13,0
元朗,2019-07-14,0
元朗,2019-07-15,0
元朗,2019-07-16,0
元朗,2019-07-17,0
元朗,2019-07-18,0
元朗,2019-07-19,0
元朗,2019-07-20,0
元朗,2019-07-21,1
元朗,2019-07-22,48
